input,ground_truth
GB7691—2025标准的实施日期是什么时候？,GB7691—2025标准的实施日期是2026年5月1日。
GB7691—2025标准替代了哪一个旧版本标准？,GB7691—2025标准代替了GB7691—2003标准。
《涂装作业安全管理通则》的中文全称对应的标准编号是什么？,《涂装作业安全管理通则》对应的标准编号是GB7691—2025。
发布GB7691—2025标准的机构有哪些？,发布GB7691—2025标准的机构是国家市场监督管理总局和国家标准化管理委员会。
本文件GB7691—2025与2003版相比，在适用范围方面有哪些主要技术变化？,本文件更改了适用范围，删除了原2003版中关于本文件参照执行的范围。
GB7691—2025标准中新增了哪些术语和定义？,GB7691—2025增加了“涂装作业”和“涂装作业场所”两个术语和定义。
与GB7691—2003相比，新版标准在职业健康管理方面做了哪些调整？,GB7691—2025更改了职业健康管理的要求，相关内容位于第4.7条，而2003年版对应的是第18章。
新版标准对涂装设备的运行维护提出了什么要求？,GB7691—2025更改了涂装设备运行维护的要求，相关内容位于第7.14和7.15条，替代了2003年版的第13章。
本文件GB7691—2025适用于哪些类型的涂装作业安全管理？,本文件适用于使用涂料及有关化学品在金属或非金属表面进行涂装作业的安全管理。
GB7691标准是哪一年首次发布的，本次修订是第几次修订？,GB7691标准于1987年首次发布，本次为第二次修订。
本文件由哪个机构提出并归口？,本文件由中华人民共和国应急管理部提出并归口。
规范性引用文件中，哪些标准与涂装工艺安全直接相关？,规范性引用文件中，与涂装工艺安全直接相关的标准包括GB6514（涂漆工艺安全及其通风）、GB12367（静电喷漆安全规范）、GB15607（粉末静电喷涂工艺安全）和GB17750（浸涂工艺安全）。
根据GB7691—2025，涂装作业场所是否需要设置安全标志？依据哪些标准？,需要。涂装作业场所（包括临时设置的涂装作业场所）应按GB2894和GB15630的规定设置安全标志。
在公共场所进行涂装作业时，应优先选用哪类涂料？,在学校、医院、商场、宾馆、交通车站等公共场所及有限空间进行涂装作业时，应优先选用挥发性有机物含量低的涂料，如粉末涂料、水性涂料、高固体分涂料、光固化涂料等。
涂装作业人员上岗前需要接受哪些培训要求？,涂装作业人员应接受安全教育和培训，经考核合格后方可上岗；当采用新工艺、新技术、新材料和新设备时，还应进行专门培训。
企业应如何为涂装作业人员配备个体防护装备？,涂装企业应按照GB39800.1的规定，为从业人员配备与岗位安全风险相适应的个体防护装备，并监督、指导员工正确穿戴。
在公共场所及有限空间进行涂装作业时，应优先选用哪类涂料？,应优先选用挥发性有机物含量低的涂料，如粉末涂料、水性涂料、高固体分涂料、光固化涂料等。
使用单位在购买涂料及相关化学品时，必须具备哪些安全文件？,所购产品应具有化学品安全技术说明书和安全标签。
根据标准要求，危险化学品仓库内的电气设备应满足什么条件？,电气设备应采用相应等级的防爆型电器。
涂装工艺文件中应当包含哪些安全相关内容？,应包含工艺过程的危险有害因素、安全防护措施、安全操作规程以及应急处置方案。
涂装工艺文件应按什么要求进行评估？,涂装工艺文件应按企业安全管理制度规定的评定周期开展评估，并评估涂装工艺是否符合国家涂装作业安全标准，以及安全防护措施、应急措施是否能够满足涂装工艺安全要求。
当涂装设备或涂料发生变更时，应如何处理涂装工艺文件中的安全技术内容？,当涂装工艺、涂装设备及器械、涂料及有关化学品发生变更时，应同时修改涂装工艺文件中的相关安全技术内容。
涂装设备日常运行维护检查应包括哪些内容？,涂装设备日常运行维护检查应包括：通风系统运行状况；防爆电气设备运行状况；接地可靠性；电气线路完好状况；自动联锁控制和信号、报警装置运行状况；应急设备、设施状态、功能、位置和可用性是否符合企业应急设备、设施清单及作业规程要求；设备运行记录中发现的问题是否及时处理。
涂装作业场所设置消防器材的依据是什么？,涂装作业场所应按照GB50140和GB50444的规定设置消防器材。
涂装作业场所是否需要进行防雷、防静电检测？,是的，涂装作业场所应进行防雷、防静电检测。
在可能散发可燃气体及粉尘的涂装作业场所中，是否可以堆放易燃、易爆物品？,不可以，可能散发可燃气体及粉尘的涂装作业场所不应堆放易燃、易爆物品。
进行有限空间涂装作业时，如果作业中断超过30分钟，再次进入前需要做什么？,作业中断超过30分钟，再次进入前应当重新进行气体浓度检测，检测合格后方可进入。
含有化学清洗的涂装作业场所应设置何种应急设施？,应设置事故应急冲洗设施，并保证在作业时间内不间断可用。
GB12367—2025标准的实施日期是什么时候？,GB12367—2025标准的实施日期是2026年8月1日。
GB12367—2025标准替代了哪一个旧版本标准？,GB12367—2025标准代替了GB12367—2006标准。
《静电喷漆安全规范》的标准编号是什么？,《静电喷漆安全规范》的标准编号是GB12367—2025。
GB12367—2025标准由哪个机构发布？,GB12367—2025标准由国家市场监督管理总局和国家标准化管理委员会发布。
GB12367—2025与2006版相比，在适用范围方面做了哪些主要技术更改？,GB12367—2025更改了标准的适用范围，对适用范围进行了调整，并删除了参照执行的范围。
新版本标准中针对静电喷漆区的火灾报警系统有哪些更新要求？,GB12367—2025更改了静电喷漆区内火灾报警系统的设置以及联动控制的要求，相关内容见6.4.6条款。
在涂料的储存和输送方面，GB12367—2025新增了哪些关于容器及管道的要求？,GB12367—2025增加了容器及管道用材的选择要求以及设计使用年限的要求，具体内容见8.2.3条款。
本次修订的标准中，关于操作与维护安全管理新增了哪方面的内容？,GB12367—2025增加了应急处置的要求，相关内容见第9.4条。
本文件适用于哪些静电喷涂相关的活动？,本文件适用于使用可燃、易燃液体涂料的静电喷涂工艺及其装备的设计、使用、维修和安全管理。
本次GB12367修订是第几次修订？,本次为第二次修订，继1990年首次发布和2006年第一次修订之后。
静电喷漆区的定义是什么？,静电喷漆区是指由于静电喷漆作业而存在一定量的易燃或可燃性蒸气、漆雾或积聚可燃性残存物的区域。
本文件新增了哪些内容？,本文件增加了应急处置的要求（见9.4）和证实方法的相关内容（见第10章）。
根据文档，静电喷漆区的定义是什么？,静电喷漆区是由于静电喷漆作业而存在一定量的易燃或可燃性蒸气、漆雾或积聚可燃性残存物的区域。
