input,ground_truth
GB12367—2025标准的实施日期是什么时候？,GB12367—2025标准的实施日期是2026年8月1日。
GB12367—2025标准替代了哪个旧版本的标准？,GB12367—2025标准代替了GB12367—2006标准。
静电喷漆安全规范的国家标准编号是什么？,静电喷漆安全规范的国家标准编号是GB12367—2025。
发布GB12367—2025标准的机构有哪些？,发布GB12367—2025标准的机构是国家市场监督管理总局和国家标准化管理委员会。
GB12367—2025与GB12367—2006相比，在适用范围方面有哪些主要技术变化？,GB12367—2025更改了标准的适用范围，对适用范围进行了调整，并删除了参照执行的范围。
GB12367—2025在静电喷漆区的安全管理方面新增了哪些要求？,GB12367—2025增加了应急处置的要求，具体内容见9.4条。
关于水性涂料静电喷漆，GB12367—2025新增了什么技术要求？,GB12367—2025增加了水性涂料静电喷漆时绝缘系统的要求，相关内容见6.3.3条。
GB12367—2025中新增了哪些关于喷涂机器人的规定？,GB12367—2025在第5.5.2和5.5.3条中增加了关于喷涂机器人的要求。
本文件适用于哪些静电喷涂工艺及其装备的管理？,本文件适用于使用可燃、易燃液体涂料的静电喷涂工艺及其装备的设计、使用、维修和安全管理。
本次GB12367修订是第几次修订？,本次为第二次修订，首次发布为GB12367—1990，2006年第一次修订，现为第二次修订。
静电喷漆区的定义是什么？,静电喷漆区是指由于静电喷漆作业而存在一定量的易燃或可燃性蒸气、漆雾或积聚可燃性残存物的区域。
本文件新增了哪些内容？,本文件增加了应急处置的要求（见9.4）和证实方法的相关内容（见第10章）。
静电喷漆区的定义是什么？,静电喷漆区是由于静电喷漆作业而存在一定量的易燃或可燃性蒸气、漆雾或积聚可燃性残存物的区域。
根据标准，静电喷漆室应具备哪些基本功能和结构特征？,静电喷漆室应是完全封闭或半封闭的，具有良好的机械通风和照明设备，能够防止漆雾和溶剂蒸气外逸，并能将其集中安全地引入排风过滤系统的专门用于静电喷漆的围护结构体。
在自动静电喷漆设备中，如何保障人员进入喷涂区域时的安全？,自动静电喷漆设备喷涂区域的入口应设置人机安全联锁及警示灯，当设备正常工作时，若检测到人员进入自动喷涂区域，设备应立即停止工作并发出声光报警。
高压静电发生器的高压电缆屏蔽线应如何连接以确保安全？,高压静电发生器的高压电缆屏蔽线应牢固地接入专用地线上，以确保安全。
在静电喷漆室内，固定线路的高压电缆应采用什么类型的电缆？在经常往复运动的情况下又应如何选择？,静电喷漆室内固定线路的高压电缆应采用铠装电缆或穿管保护；在经常往复运动时，应选用高柔性屏蔽电缆，并采取防机械损伤措施。
自动静电喷漆设备在检测到人员进入喷涂区域时应采取哪些安全措施？,自动静电喷漆设备应在入口设置人机安全联锁及警示灯，当设备正常工作时检测到人员进入自动喷涂区域，应停止工作并进行声光报警。
根据标准要求，被喷漆工件与带电导体之间的安全距离应满足什么条件？,被喷漆工件与电极、静电雾化器或带电导体之间应保持安全距离，该距离至少为该电压下火花放电最大距离的两倍，并应在静电喷漆区显著位置设置警告标识。
静电喷漆区内的外露导电部分接地电阻和静电泄漏电阻的要求分别是什么？,静电喷漆区内的外露导电部分应做多点可靠接地，每组专设的静电接地体的接地电阻应小于100Ω，静电泄漏电阻应小于1×10⁶Ω。
静电喷漆区内的外露导电部分应如何处理以确保安全？,静电喷漆区内的外露导电部分均应做多点可靠接地，每组专设的静电接地体的接地电阻应小于100Ω，静电泄漏电阻应小于1×10⁶Ω。
自动静电喷漆设备在哪些情况下应切断高压电源并停止喷漆？,在以下情况下应切断高压电源并停止喷漆：可燃气体探测报警系统或火灾自动报警系统发出报警信号；机械通风装置发生故障；静电喷漆设备发生故障停机；高压系统中任何位置发生火花放电；安全距离小于5.6.1所规定的数值。
使用可燃或易燃液体涂料的静电喷漆室应安装何种安全系统？,使用可燃或易燃液体涂料的静电喷漆室应安装可燃气体探测报警系统，且系统的设置应符合GB50116的规定。
静电喷漆作业区存放的涂料量有何限制？,静电喷漆作业区存放的涂料不应超过当班的用量。
静电喷漆作业区存放的涂料量应如何控制？,静电喷漆作业区存放的涂料不应超过当班的用量。
向静电雾化器供料的容器在材质和接地方面有哪些要求？,向静电雾化器供料的容器应采用导电材料制作，确保涂料不泄漏、不外溢，并且容器必须可靠接地，其接地电阻值小于100Ω。
在将可燃或易燃液体涂料从一个金属容器倒入另一个金属容器之前，应采取什么安全措施？,在转移可燃或易燃液体涂料前，应将两个金属容器有效连接并接地，以防止静电积聚引发危险。
作业人员进入静电喷漆区前需要进行哪些个人防护和静电防控措施？,作业人员应穿防静电工作服，不得穿用丝绸、合成纤维等易产生静电的材料制成的服装，不应佩戴金属物体，并在进入喷漆区前进行人体静电释放，且作业期间静电释放间隔不应超过2小时。
在静电喷漆作业停止后，机械通风装置应如何控制可燃气体浓度？,在停止静电喷漆作业后，机械通风装置应继续运行，将可燃气体浓度控制在其爆炸下限的25%以内，并将可燃物从现场搬离。
进行明火维修作业时，企业应采取哪些安全管理措施？,当维修操作有明火作业时，应执行动火安全制度，制定防护措施和应急处置方案。
沾有涂料或溶剂的棉纱等废弃物应如何存放和处理？,沾有涂料或溶剂的棉纱等物品应放入带盖的金属箱（桶）内并进行标识，当班清除并进行妥善处理。
如何验证第9章中关于操作和维护的安全管理要求是否落实？,通过查验安全管理制度、安全操作和维修规程、企业风险辨识清单、安全风险管控清单、异常处理记录、检测记录、危险作业审批表、应急预案、现场处置方案、应急演练记录、应急救援物资配备清单、个体防护用品发放记录，并现场勘查应急物资配备情况和个体防护用品穿戴情况来验证。
